"Name","City","Country","Domes","Status","EPN Inclusion","Station Log","OperationalCentre","TectonicPlate","Latitude","Longitude","Elevation","X","Y","Z","IGS","ITRF2014","IGS14"
"MATG00ITA","Matera","Italy","12734M010","A","2015-08-09","matg00ita_20200326.log","ASI","EURASIAN","40.6490","16.7047","537.0","4641953.04","1393063.55","4133279.59","IGS","",""
"MDVJ00RUS","Mendeleevo","Russian Federation","12309M005","A","2007-03-04","mdvj00rus_20190409.log","IMVP","EURASIAN","56.0215","37.2145","257.4","2845456.30","2160954.30","5265993.40","IGS","ITRF2014","IGS14"
"MEDI00ITA","Medicina","Italy","12711M003","A","1996-01-21","medi00ita_20200326.log","ASI","EURASIAN","44.5200","11.6468","50.0","4461400.89","919593.44","4449504.67","IGS","ITRF2014","IGS14"
"MELI00ESP","Melilla","Spain","19379M001","A","2012-08-12","meli00esp_20200326.log","IGE","AFRICAN","35.2812","-2.9516","93.5","5205630.00","-268410.00","3663434.00","IGS","",""
"MERS00TUR","Erdemli","Turkey","20814M001","A","2019-03-17","mers00tur_20191224.log","GCM","EURASIAN","36.5664","34.2559","38.5","4239149.45","2886967.94","3778877.02","IGS","ITRF2014",""
"MET300FIN","Kirkkonummi","Finland","10503M010","A","2017-03-19","met300fin_20191025.log","FGI","EURASIAN","60.2175","24.3945","79.2","2892583.98","1311799.56","5512619.85","IGS","",""
"METG00FIN","METSAHOVI","Finland","10503M002","A","2018-05-13","metg00fin_20200220.log","CNES","EURASIAN","60.2420","24.3842","59.7","2890652.50","1310295.55","5513958.88","IGS","",""
"METS00FIN","Kirkkonummi","Finland","10503S011","A","1995-12-31","mets00fin_20191025.log","FGI","EURASIAN","60.2175","24.3953","94.6","2892571.00","1311843.28","5512634.01","IGS","ITRF2014","IGS14"
"MIK300FIN","Mikkeli","Finland","10526M001","A","2018-06-24","mik300fin_20191028.log","FGI","EURASIAN","61.5741","27.1028","167.3","2709831.93","1386860.95","5586222.94","","",""
"MIKL00UKR","Mykolaiv","Ukraine","12335M001","A","2002-11-10","mikl00ukr_20191018.log","MAO","EURASIAN","46.9728","31.9728","94.7","3698554.63","2308675.27","4639770.43","IGS","ITRF2014",""
"MKRS00UKR","Mukachevo","Ukraine","15599M001","A","2018-04-29","mkrs00ukr_20180321.log","MAO","EURASIAN","48.3787","22.7093","188.2","3915409.08","1638600.28","4745087.11","","",""
"MLVL00FRA","Marne-la-Vallee","France","10092M001","A","2000-10-22","mlvl00fra_20190313.log","IGN_RGP","EURASIAN","48.8411","2.5873","160.7","4201577.00","189860.00","4779065.00","","",""
"MOP200SVK","Modra-Piesok","Slovak Republic","11507M002","A","2008-08-24","mop200svk_20200117.log","SUT","EURASIAN","48.3727","17.2738","581.3","4053743.00","1260570.00","4744940.00","","",""
"MOPI00SVK","Modra-Piesok","Slovak Republic","11507M001","A","1996-11-17","mopi00svk_20191224.log","SUT","EURASIAN","48.3727","17.2739","578.3","4053738.00","1260571.00","4744940.00","","",""
"MOPS00ITA","Modena","Italy","12791M001","A","2007-04-22","mops00ita_20190221.log","DIEF","EURASIAN","44.6294","10.9492","85.0","4463913.40","863588.18","4458190.17","","",""
"MORP00GBR","Morpeth","United Kingdom","13299S001","A","2002-11-03","morp00gbr_20200203.log","NCL","EURASIAN","55.2128","-1.6855","144.5","3645667.90","-107277.30","5215053.50","IGS","ITRF2014",""
"MSEL00ITA","Medicina","Italy","12711M008","A","2004-10-10","msel00ita_20190326.log","UNIBO","EURASIAN","44.5200","11.6465","49.3","4461399.55","919567.22","4449510.36","","",""
"NEWL00GBR","Newlyn","United Kingdom","13273M103","A","2004-06-27","newl00gbr_20190920.log","IESSG","EURASIAN","50.1030","-5.5428","64.5","4079954.10","-395930.40","4870196.80","","ITRF2014",""
"NICO00CYP","Nicosia","Cyprus","14302M001","A","1997-06-22","nico00cyp_20191108.log","FSW","AFRICAN","35.1410","33.3964","191.7","4359417.88","2874117.01","3650778.27","IGS","ITRF2014","IGS14"
"NOA100GRC","Athens","Greece","12620M001","A","2006-05-07","noa100grc_20200312.log","NOA","EURASIAN","38.0471","23.8640","537.8","4599641.95","2034827.31","3909890.60","","",""
"NOR700SWE","Norrkoping","Sweden","10410M003","A","2014-06-22","nor700swe_20191105.log","LMV","EURASIAN","58.5901","16.2464","40.5","3199101.56","932233.01","5420316.87","","",""
"NPAZ00SRB","Novi Pazar","Serbia","12110M001","A","2015-06-21","npaz00srb_20190412.log","RGZ","EURASIAN","43.1396","20.5193","549.5","4365991.15","1634052.95","4339210.57","","",""
"NYA100NOR","Ny-Alesund","Norway","10317M003","A","1998-05-03","nya100nor_20181203.log","NMA","EURASIAN","78.9296","11.8653","83.7","1202434.00","252632.00","6237772.00","IGS","ITRF2014","IGS14"
"NYA200NOR","Ny Alesund","Norway","10317M008","A","2018-09-30","nya200nor_20200402.log","GFZ","EURASIAN","78.9303","11.8586","81.5","1202379.31","252474.65","6237786.54","IGS","",""
"OBE400DEU","Oberpfaffenhofen","Germany","14208M007","A","2015-03-08","obe400deu_20200313.log","GFZ","EURASIAN","48.0848","11.2779","650.6","4186704.43","834903.58","4723664.86","IGS","",""
"OLK200FIN","Rauma","Finland","10518M002","A","2018-06-24","olk200fin_20191028.log","FGI","EURASIAN","61.1910","21.5058","39.4","2866981.12","1129668.95","5565665.82","","",""
"ONS100SWE","Onsala","Sweden","10402M007","A","2016-01-31","ons100swe_20191106.log","LMV","EURASIAN","57.3953","11.9245","44.4","3370667.20","711818.72","5349787.88","IGS","",""
"ONSA00SWE","Onsala","Sweden","10402M004","A","1995-12-31","onsa00swe_20191104.log","LMV","EURASIAN","57.3953","11.9255","45.5","3370658.83","711876.94","5349786.75","IGS","ITRF2014","IGS14"
"ORID00MKD","Ohrid","Macedonia","15601M001","A","2000-07-30","orid00mkd_20200218.log","FSW","EURASIAN","41.1273","20.7940","773.0","4498451.81","1708266.83","4173591.78","IGS","ITRF2014",""
"ORIV00FIN","Orivesi","Finland","10527M001","A","2018-10-28","oriv00fin_20191028.log","FGI","EURASIAN","61.6163","24.2118","155.9","2772556.07","1246719.59","5588449.56","","",""
"OROS00HUN","Oroshaza","Hungary","11207M001","A","2001-12-09","oros00hun_20190402.log","SGO","EURASIAN","46.5550","20.6710","134.3","4110967.50","1551025.70","4607983.30","","",""
"OSK600SWE","Oskarshamn","Sweden","10435M002","A","2014-06-22","osk600swe_20191105.log","LMV","EURASIAN","57.0657","15.9969","150.2","3341336.36","957914.56","5330005.70","","",""
"OSLS00NOR","Oslo","Norway","10307M001","A","2000-12-10","osls00nor_20200131.log","NMA","EURASIAN","59.7366","10.3678","221.5","3169982.15","579956.60","5485936.47","","ITRF2014",""
"OST600SWE","Ostersund","Sweden","10436M002","A","2014-09-28","ost600swe_20191105.log","LMV","EURASIAN","63.4428","14.8580","489.8","2763889.55","733243.49","5682651.67","","",""
