#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName,ReceiverSatelliteSystem,ReceiverDateInstalled,AntennaName,AntennaRadome,AntennaSerialNumber,AntennaARP,AntennaMarkerUp,AntennaMarkerNorth,AntennaMarkerEast,AntennaDateInstalled,ClockType
EBRE00ESP,4833520,41536,4147461,40.821,0.492,107.745,LEICA GR50,GPS+GLO+GAL+BDS,2019-04-05T10:22Z,LEIAR25.R4,NONE,726359,BPA,0.077,0,0,2016-12-14T11:07Z,INTERNAL
EIL300USA,-2296304.083,-1484805.898,5743078.376,64.688,-147.113,177.682,NOV OEM6,GPS,2021-10-25T00:00Z,TPSCR.G5,TPSH,762-11832,BPA,0,0,0,2015-05-27T00:00Z,EXTERNAL CESIUM /RCVR 1
EIL400USA,-2296304.083,-1484805.898,5743078.376,64.688,-147.113,177.682,NOV OEM6,GPS,2021-10-25T00:00Z,TPSCR.G5,TPSH,762-11832,BPA,0,0,0,2015-05-27T00:00Z,EXTERNAL CESIUM /RCVR 2
ENAO00PRT,4375732.153,-2329166.814,4000238.281,39.091,-28.026,91.975,JAVAD TRE_3,GPS+GLO+GAL+BDS+SBAS,2021-06-14T09:30Z,JAVRINGANT_G5T,NONE,3222C,BAM,0.1206,0,0,2019-07-23T16:30Z,INTERNAL
EPRT00USA,1768544.556,-4164839.445,4480190.419,44.909,-66.992,30.789,LEICA GR50,GPS+GLO+GAL,2019-02-27T21:42Z,LEIAR20,LEIM,20251001,BAM,0,0,0,2018-05-09T22:14Z,INTERNAL
ESCU00CAN,1852954.53,-3937498.76,4647314.64,47.073,-64.799,-15.592,TRIMBLE NETR9,GPS,2020-08-19T17:30Z,ASH701945E_M,NONE,CR6200323004,BPA,0.1,0,0,2016-07-10T23:00Z,INTERNAL
FAA100PYF,-5247393.111,-3076867.223,-1911521.528,-17.555,-149.614,12.543,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS+SBAS,2021-01-19T12:00Z,LEIAR25.R4,NONE,725235,BPA,0.1262,0,0,2012-12-05T00:00Z,INTERNAL 
FAIR00USA,-2281621.7717,-1453595.9493,5756961.9444,64.978,-147.499,319.623,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS,2021-04-14T00:00Z,ASH701945G_M,JPLA,CR5200348003,BPA,0.0863,0,0,2016-08-26T21:30Z,INTERNAL
FALE00WSM,-6134112,-862145,-1514975,-13.832,-172,48.201,TRIMBLE NETRS,GPS,2017-09-07T04:10Z,TRM41249.00,NONE,12697180,BAM,0.0535,0,0,2010-10-22T02:50Z,INTERNAL
FALK00FLK,2106811.344,-3355170.6666,-4981786.3348,-51.694,-57.874,51.275,SEPT POLARX5,GPS+GLO+GAL+BDS,2021-02-02T20:56Z,ASH701945E_M,SCIT,CR6200539006,BPA,0.0083,0,0,2008-07-21T00:00Z,INTERNAL
FFMJ00DEU,4053455.7,617729.9,4869395.9,50.091,8.665,178.696,JAVAD TRE_3 DELTA,GPS+GLO+GAL+BDS+SBAS,2021-08-31T08:40Z,LEIAR25.R3,LEIT,9050002,BPA,0.045,0,0,2019-09-04T10:53Z,INTERNAL
FLIN00CAN,-766174.46,-3611375.32,5184056.22,54.726,-101.978,311.932,SEPT POLARX5,GPS+GLO+GAL,2020-02-18T15:53Z,NOV750.R4,NOVS,9470003,BPA,0.15,0,0,2018-08-30T15:20Z,INTERNAL
FLRS00PRT,4221530.01,-2549242.33,4031397.8,39.454,-31.126,80.286,TRIMBLE ALLOY,GPS+GLO+GAL,2021-10-20T15:45Z,TRM159900.00,NONE,5925338547,BPA,0,0,0,2021-10-20T15:45Z,INTERNAL
FRDN00CAN,1760543.42,-4080069.4,4560178.6,45.933,-66.66,96.379,TPS NET-G3A,GPS+GLO,2017 p6,5,2019-03-13T20:21Z,TPSCR.G3,NONE,383-0933,BPA,0.1,0,0
FTNA00WLF,-6178322.4459,-202694.9925,-1566024.4684,-14.308,-178.121,85.262,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS+SBAS,2020-05-25T12:05Z,TRM59800.00,NONE,5112364069,BPA,0,0,0,2012-05-20T08:00Z,INTERNAL
FUNC00PRT,5143339.43,-1563412.87,3421191.44,32.648,-16.908,78.917,TRIMBLE ALLOY,GPS+GLO+GAL,2020-11-25T13:05Z,TRM159900.00,NONE,5925338548,BPA,0,0,0,2021-01-23T09:18Z,INTERNAL
GAMB00PYF,-4147126.8085,-4152222.1446,-2490033.108,-23.13,-134.965,81.068,TRIMBLE NETR9,GPS+GLO+GAL+BDS+SBAS,2020-06-10T02:10Z,TRM59800.00,NONE,5406354932,BPA,0,0,0,2014-10-08T22:10Z,INTERNAL
GAMG00KOR,-3191598,4096876,3691823,35.59,127.92,898.703,SEPT POLARX5TR,GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS,2021-01-26T09:00Z,LEIAR25.R4,LEIT,726358,BPA,2.034,0,0,2016-07-12T00:00Z,INTERNAL
GANP00SVK,3929181.5,1455236.8,4793653.9,49.035,20.323,746.453,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,2021-11-03T09:54Z,TRM59800.00,SCIS,5620361622,BPA,0.383,0,0,2017-02-06T10:40Z,INTERNAL
GCGO00USA,-2281621.6297,-1453585.1138,5756964.9518,64.978,-147.499,319.835,JAVAD TRE_3 DELTA,GPS+GLO+GAL+BDS+QZSS,2021-07-27T01:06Z,JAVRINGANT_DM,SCIS,981,BPA,0.0083,0,0,2016-08-26T00:00Z,INTERNAL
GENO00ITA,4507890.272,707618.974,4441603.008,44.419,8.921,153.878,LEICA GR30,GPS+GLO+GAL+BDS+SBAS,2020-04-17T15:45Z,LEIAR20,NONE,19311020,BAM,0,0,0,2018-03-06T15:45Z,INTERNAL
