Name,City,Country,Domes,OperationalCentre,TectonicPlate
SULD00DNK,Suldrup,DNK,10113M001,SDFE,EURASIAN
SULP00UKR,Lviv,UKR,12366M001,NULP,EURASIAN
SUN600SWE,Sundsvall,SWE,10440M002,LMV,EURASIAN
SUR400EST,Suurupi,EST,10601M002,ELB,EURASIAN
SVE600SWE,Sveg,SWE,10441M002,LMV,EURASIAN
SVTL00RUS,Svetloe,RUS,12350M001,IAA,EURASIAN
SWAS00GBR,Swansea,GBR,19193M001,OS,EURASIAN
SWKI00POL,Suwalki,POL,12228M001,ASGEUPOS,EURASIAN
TAR000ESP,Tarifa,ESP,19350M002,IGE,EURASIAN
TER200UKR,Ternopil,UKR,15541M002,NULP,EURASIAN
TERS00NLD,West-Terschelling,NLD,13534M001,DUT,EURASIAN
TERU00ESP,Teruel,ESP,13487M001,IGE,EURASIAN
TIT200DEU,Titz,DEU,14278M002,BKG,EURASIAN
TLL100IRL,Dublin,IRL,13630M002,OSI,EURASIAN
TLMF00FRA,Toulouse,FRA,10003M010,IGN_RGP,EURASIAN
TLSE00FRA,Toulouse,FRA,10003M009,CNES,EURASIAN
TLSG00FRA,Toulouse,FRA,10003M034,CNES,EURASIAN
TOIL00EST,Toila,EST,10605S001,ELB,EURASIAN
TOR100ESP,TORREJON DE ARDOZ,ESP,17018M001,ESSP,EURASIAN
TOR200EST,Tõravere,EST,10602M001,ELB,EURASIAN
TORI00ITA,Torino,ITA,12724M002,POLITO,EURASIAN
TORN00FIN,Tornio,FIN,10530M001,FGI,EURASIAN
TRDS00NOR,Trondheim,NOR,10331M001,NMA,EURASIAN
TRF200AUT,Pernitz,AUT,11047M002,BEV,EURASIAN
TRO100NOR,Tromsoe,NOR,10302M006,NMA,EURASIAN
TUBI00TUR,Gebze,TUR,20806M001,TUBITAK,EURASIAN
TUBO00CZE,Brno,CZE,11503M001,GOP,EURASIAN
TUC200GRC,Chania,GRC,12617M003,TUC,EURASIAN
TUO200FIN,Kaarina,FIN,10521M002,FGI,EURASIAN
UCAG00ITA,Cagliari,ITA,12702M003,ASI,EURASIAN
UME600SWE,Umea,SWE,10442M002,LMV,EURASIAN
UNPG00ITA,Perugia,ITA,12752M001,UNPG,EURASIAN
USAL00ITA,Lecce,ITA,19527M001,ASI,EURASIAN
USDL00POL,Ustrzyki Dolne,POL,12229M001,ASGEUPOS,EURASIAN
VAA200FIN,Vaasa,FIN,10511M002,FGI,EURASIAN
VAAS00FIN,Vaasa,FIN,10511M001,FGI,EURASIAN
VACO00CZE,Vacov,CZE,11516M001,IRSM,EURASIAN
VAE600SWE,Vanersborg,SWE,10443M002,LMV,EURASIAN
VALA00ESP,Valladolid,ESP,13463M002,ITACYL,EURASIAN
VALE00ESP,Valencia,ESP,13439M001,IGE,EURASIAN
VARS00NOR,Vardoe,NOR,10322M002,NMA,EURASIAN
VEN100ITA,Venezia,ITA,19513M001,ASI,EURASIAN
VFCH00FRA,Villefranche-sur-Cher,FRA,10046M001,IGN_RGP,EURASIAN
VIGO00ESP,Vigo,ESP,13450M001,IGE,EURASIAN
VIL000SWE,Vilhelmina,SWE,10424M001,LMV,EURASIAN
VIL600SWE,Vilhelmina,SWE,10424M002,LMV,EURASIAN
VILL00ESP,Villafranca,ESP,13406M001,ESOC,EURASIAN
VIR200FIN,Virolahti,FIN,10522M002,FGI,EURASIAN
VIS000SWE,Visby,SWE,10423M001,LMV,EURASIAN
VIS600SWE,Visby,SWE,10423M002,LMV,EURASIAN
VITR00BLR,Vitebsk,BLR,14805M001,BYGEO,EURASIAN
VLIS00NLD,Vlissingen,NLD,13538M001,DUT,EURASIAN
VLN100IRL,Valentia,IRL,13626M002,OSI,EURASIAN
VLNS00LTU,Vilnius,LTU,10801M001,VGTUGI,EURASIAN
VNRS00UKR,Vinnytsia,UKR,18101M001,MAO,EURASIAN
WARE00BEL,Waremme,BEL,13114M001,ROB,EURASIAN
WARN00DEU,Rostock-Warnemuende,DEU,14277M002,BKG,EURASIAN
WRLG00DEU,Bad Koetzting,DEU,14201M024,BKG,EURASIAN
WROC00POL,Wroclaw,POL,12217M001,IGG,EURASIAN
WSRT00NLD,Westerbork,NLD,13506M005,DUT,EURASIAN
WTZA00DEU,Bad Koetzting,DEU,14201M013,BKG,EURASIAN
WTZR00DEU,Bad Koetzting,DEU,14201M010,BKG,EURASIAN
WTZS00DEU,Bad Koetzting,DEU,14201M015,BKG,EURASIAN
WTZZ00DEU,Bad Koetzting,DEU,14201M014,BKG,EURASIAN
WUTH00NOR,"Polish Polar Station, Hornsund",NOR,81301M001,WUT,EURASIAN
YEBE00ESP,Yebes,ESP,13420M001,IGE,EURASIAN
ZADA00HRV,Zadar,HRV,11905M001,SGA,EURASIAN
ZARA00ESP,Zaragoza,ESP,13462M001,IGE,EURASIAN
ZECK00RUS,Zelenchukskaya,RUS,12351M001,IAA,EURASIAN
ZIM200CHE,Zimmerwald,CHE,14001M008,LPT,EURASIAN
ZIMM00CHE,Zimmerwald,CHE,14001M004,LPT,EURASIAN
ZOUF00ITA,Cercivento,ITA,12763M001,CRS,EURASIAN
ZPRS00UKR,Zaporizhzhia,UKR,18102M001,MAO,EURASIAN
ZYWI00POL,Zywiec,POL,12220S001,ASGEUPOS,EURASIAN
