! Version:            1.0
! Source:             D. Landskron, TU Vienna (created: 2020-02-23)
! Data_types:         VMF3 (lat lon ah aw zhd zwd)
! Epoch:              2020 02 21 00 00  0.0
! Scale_factor:       1.e+00
! Range/resolution:   -89.5 89.5 0.5 359.5 1 1
! Comment:            vmf.geo.tuwien.ac.at/trop_products/GRID/1x1/VMF3/VMF3_OP/2020/
 89.5   84.5  0.00114281  0.00047459  2.2385  0.0124
 89.5   85.5  0.00114286  0.00047394  2.2386  0.0124
 89.5   86.5  0.00114290  0.00047302  2.2387  0.0124
 89.5   87.5  0.00114295  0.00047249  2.2387  0.0124
 89.5   88.5  0.00114300  0.00047233  2.2388  0.0124
 89.5   89.5  0.00114305  0.00047256  2.2389  0.0124
 89.5   90.5  0.00114310  0.00047193  2.2390  0.0123
 89.5   91.5  0.00114314  0.00047040  2.2390  0.0123
 89.5   92.5  0.00114320  0.00046835  2.2391  0.0123
 89.5   93.5  0.00114325  0.00046569  2.2392  0.0123
 89.5   94.5  0.00114329  0.00046253  2.2393  0.0123
 89.5   95.5  0.00114333  0.00045839  2.2393  0.0123
 89.5   96.5  0.00114337  0.00045393  2.2394  0.0123
 89.5   97.5  0.00114342  0.00044923  2.2395  0.0123
 89.5   98.5  0.00114346  0.00044378  2.2396  0.0122
 89.5   99.5  0.00114350  0.00043814  2.2396  0.0122
 89.5  100.5  0.00114355  0.00043266  2.2397  0.0122
 89.5  101.5  0.00114359  0.00042775  2.2398  0.0122
 89.5  102.5  0.00114364  0.00042266  2.2399  0.0122
 89.5  103.5  0.00114368  0.00041705  2.2399  0.0121
 89.5  104.5  0.00114371  0.00041172  2.2400  0.0121
 89.5  105.5  0.00114376  0.00040675  2.2401  0.0121
 89.5  106.5  0.00114380  0.00040177  2.2402  0.0121
 89.5  107.5  0.00114386  0.00039645  2.2402  0.0120
 89.5  108.5  0.00114391  0.00039092  2.2403  0.0120
 89.5  109.5  0.00114396  0.00038497  2.2404  0.0120
 89.5  110.5  0.00114400  0.00037820  2.2404  0.0120
 89.5  111.5  0.00114405  0.00037058  2.2405  0.0119
 89.5  112.5  0.00114409  0.00036269  2.2406  0.0119
 89.5  113.5  0.00114413  0.00035448  2.2406  0.0119
 89.5  114.5  0.00114418  0.00034569  2.2407  0.0119
 89.5  115.5  0.00114422  0.00033633  2.2408  0.0118
 89.5  116.5  0.00114427  0.00032647  2.2408  0.0118
 89.5  117.5  0.00114432  0.00031617  2.2409  0.0118
 89.5  118.5  0.00114436  0.00030524  2.2409  0.0118
 89.5  119.5  0.00114440  0.00029427  2.2410  0.0117
 89.5  120.5  0.00114443  0.00028306  2.2410  0.0117
 89.5  121.5  0.00114447  0.00027154  2.2411  0.0117
 89.5  122.5  0.00114450  0.00026006  2.2412  0.0117
 89.5  123.5  0.00114452  0.00024879  2.2412  0.0116
 89.5  124.5  0.00114456  0.00023822  2.2413  0.0116
 89.5  125.5  0.00114458  0.00022803  2.2413  0.0116
 89.5  126.5  0.00114460  0.00021830  2.2413  0.0115
 89.5  127.5  0.00114462  0.00020946  2.2414  0.0115
 89.5  128.5  0.00114465  0.00020126  2.2415  0.0115
 89.5  129.5  0.00114468  0.00019344  2.2415  0.0115
 89.5  130.5  0.00114468  0.00018632  2.2415  0.0114
