City,Province,Type,Latitude,Longitude,geoid_height
ADANA,SEYHAN,District,36.99257,35.2732,26.5997867584229
ADANA,YÜREĞİR,District,36.95687,35.34712,26.4170436859131
ADANA,ALADAĞ,District,37.54996,35.39295,31.8877067565918
